region,country,gender,type,total,Fellow employee,Direct supervisor,Higher management,News source,Other
africa,botswana,n,verbal,0,0,0,0,0,0
africa,kenya,n,verbal,1,1,0,0,0,0
africa,malawi,n,verbal,0,0,0,0,0,0
africa,rwanda,n,verbal,2,1,1,0,0,0
africa,tanzania,n,verbal,2,1,1,0,0,0
africa,uganda,n,verbal,0,0,0,0,0,0
africa,zambia,n,verbal,4,2,0,0,2,0
africa,zimbabwe,n,verbal,2,0,0,1,1,0
africa,botswana,m,verbal,5,1,1,3,0,0
africa,kenya,m,verbal,8,3,2,2,1,0
africa,malawi,m,verbal,5,4,1,0,0,0
africa,rwanda,m,verbal,7,2,2,3,0,0
africa,tanzania,m,verbal,2,2,0,0,0,0
africa,uganda,m,verbal,7,4,0,2,1,0
africa,zambia,m,verbal,14,6,2,3,3,0
africa,zimbabwe,m,verbal,1,1,0,0,0,0
africa,botswana,f,verbal,27,11,6,3,6,1
africa,kenya,f,verbal,83,35,24,10,13,1
africa,malawi,f,verbal,33,15,7,7,4,0
africa,rwanda,f,verbal,33,11,7,6,6,3
africa,tanzania,f,verbal,49,18,11,9,9,2
africa,uganda,f,verbal,33,15,9,3,5,1
africa,zambia,f,verbal,54,21,11,12,10,0
africa,zimbabwe,f,verbal,40,11,8,10,9,2
africa,botswana,n,physical,0,0,0,0,0,0
africa,kenya,n,physical,1,0,0,1,0,0
africa,malawi,n,physical,0,0,0,0,0,0
africa,rwanda,n,physical,1,1,0,0,0,0
africa,tanzania,n,physical,1,1,0,0,0,0
africa,uganda,n,physical,0,0,0,0,0,0
africa,zambia,n,physical,2,1,0,0,1,0
africa,zimbabwe,n,physical,0,0,0,0,0,0
africa,botswana,m,physical,4,1,1,1,1,0
africa,kenya,m,physical,4,1,1,1,1,0
africa,malawi,m,physical,0,0,0,0,0,0
africa,rwanda,m,physical,5,2,0,3,0,0
africa,tanzania,m,physical,4,2,0,1,1,0
africa,uganda,m,physical,9,4,2,0,3,0
africa,zambia,m,physical,8,3,1,1,3,0
africa,zimbabwe,m,physical,0,0,0,0,0,0
africa,botswana,f,physical,19,7,3,4,4,1
africa,kenya,f,physical,44,23,8,7,4,2
africa,malawi,f,physical,16,7,5,4,0,0
africa,rwanda,f,physical,22,9,6,3,2,2
africa,tanzania,f,physical,35,12,6,10,6,1
africa,uganda,f,physical,34,11,9,6,7,1
africa,zambia,f,physical,23,4,6,7,5,1
africa,zimbabwe,f,physical,18,5,6,3,3,1
