region,country,gender,type,total,Reported All,Reported Most,Reported some
africa,botswana,n,verbal,0,0,0,0
africa,kenya,n,verbal,1,1,0,0
africa,malawi,n,verbal,0,0,0,0
africa,rwanda,n,verbal,2,0,0,0
africa,tanzania,n,verbal,1,0,0,0
africa,uganda,n,verbal,0,0,0,0
africa,zambia,n,verbal,2,0,0,0
africa,zimbabwe,n,verbal,1,0,0,0
africa,botswana,m,verbal,3,0,0,0
africa,kenya,m,verbal,6,0,0,1
africa,malawi,m,verbal,5,0,0,0
africa,rwanda,m,verbal,7,2,0,1
africa,tanzania,m,verbal,2,0,0,0
africa,uganda,m,verbal,5,0,0,1
africa,zambia,m,verbal,10,0,1,2
africa,zimbabwe,m,verbal,1,0,0,0
africa,botswana,f,verbal,15,4,0,1
africa,kenya,f,verbal,49,2,0,11
africa,malawi,f,verbal,26,2,2,3
africa,rwanda,f,verbal,24,1,1,2
africa,tanzania,f,verbal,36,2,1,5
africa,uganda,f,verbal,24,0,0,3
africa,zambia,f,verbal,33,1,1,5
africa,zimbabwe,f,verbal,20,2,2,5
africa,botswana,n,physical,0,0,0,0
africa,kenya,n,physical,1,0,0,0
africa,malawi,n,physical,0,0,0,0
africa,rwanda,n,physical,0,0,0,0
africa,tanzania,n,physical,1,0,0,0
africa,uganda,n,physical,0,0,0,0
africa,zambia,n,physical,2,0,0,0
africa,zimbabwe,n,physical,0,0,0,0
africa,botswana,m,physical,1,0,0,0
africa,kenya,m,physical,4,0,0,0
africa,malawi,m,physical,0,0,0,0
africa,rwanda,m,physical,5,1,0,0
africa,tanzania,m,physical,3,0,0,0
africa,uganda,m,physical,5,1,0,0
africa,zambia,m,physical,6,1,0,1
africa,zimbabwe,m,physical,0,0,0,0
africa,botswana,f,physical,13,3,1,2
africa,kenya,f,physical,32,2,1,3
africa,malawi,f,physical,14,0,0,0
africa,rwanda,f,physical,17,0,0,0
africa,tanzania,f,physical,29,0,3,4
africa,uganda,f,physical,20,0,0,3
africa,zambia,f,physical,17,1,0,1
africa,zimbabwe,f,physical,13,1,1,5
